verb,synonym1,synonym2,synonym3,synonym4,synonym5
abandon,desert,forsake,discard,leave,quit
abscond,flee,bolt,escape,vancish,depart
abuse,misuse,exploit,harm,maltreat,violate
accept,receive,take,acquire,admit,approve
access,enter,penetrate,reach,ingress,open
acquire,obtain,secure,procure,capture,collect
act,perform,execute,operate,behave,do
activate,trigger,engage,enable,start,initiate
adapt,adjust,modify,alter,conform,tailor
add,append,attach,join,insert,annex
adjust,calibrate,align,tune,modify,alter
administer,manage,direct,supervise,govern,execute
admire,respect,esteem,venerate,appreciate,value
admit,confess,concede,acknowledge,grant,allow
advise,consult,guide,instruct,notify,warn
advocate,support,champion,promote,uphold,defend
affect,influence,impact,alter,change,touch
afford,provide,yield,supply,manage,sustain
agree,concur,consent,settle,align,approve
aid,help,assist,support,facilitate,abet
alarm,alert,warn,frighten,signal,startle
alert,warn,notify,signal,alarm,brief
alienate,estrange,separate,divide,distance,isolate
align,calibrate,coordinate,match,order,adjust
allege,claim,assert,state,maintain,charge
allocate,assign,allot,distribute,apportion,designate
allow,permit,authorize,enable,let,grant
alter,change,modify,adjust,edit,transform
amass,collect,gather,accumulate,hoard,stockpile
amend,correct,fix,revise,alter,improve
analyze,examine,inspect,scrutinize,probe,evaluate
announce,declare,broadcast,proclaim,publish,state
annoy,irritate,bother,disturb,vex,provoke
annul,cancel,nullify,void,revoke,rescind
answer,reply,respond,retort,counter,acknowledge
anticipate,expect,foresee,await,predict,forecast
apologize,regret,atone,excuse,justify,confess
appear,seem,emerge,arrive,show,loom
applaud,praise,commend,extol,cheer,celebrate
apply,use,utilize,employ,exercise,execute
appoint,designate,assign,name,select,nominate
appraise,evaluate,assess,estimate,value,rate
appreciate,value,respect,admire,understand,prize
approach,near,reach,access,address,initiate
approve,sanction,ratify,authorize,permit,endorse
argue,dispute,clash,quarrel,disagree,bicker
arise,emerge,occur,happen,originate,begin
arm,equip,prepare,fortify,load,supply
arrange,organize,structure,order,classify,position
arrest,apprehend,seize,detain,capture,halt
arrive,reach,enter,appear,come,land
ask,query,question,inquire,request,probe
assault,attack,strike,hit,charge,storm
assemble,gather,collect,construct,compile,marshal
assert,state,claim,maintain,declare,affirm
assess,evaluate,examine,appraise,judge,review
assign,allocate,allot,delegate,entrust,consign
assist,help,aid,support,facilitate,abet
assume,presume,suppose,take,undertake,accept
assure,guarantee,ensure,confirm,promise,pledge
attach,link,connect,join,append,couple
attack,strike,assault,charge,hit,raid
attain,achieve,reach,gain,realize,accomplish
attempt,try,endeavor,strive,venture,test
attend,visit,join,witness,follow,note
attract,draw,allure,entice,pull,magnetize
audit,verify,inspect,examine,review,check
authenticate,verify,validate,confirm,certify,corroborate
authorize,permit,allow,sanction,approve,empower
automate,mechanize,program,streamline,systematize,standardize
avoid,evade,shun,skirt,bypass,dodge
await,wait,expect,anticipate,stay,abide
awake,rouse,alert,wake,ignite,stir
award,grant,bestow,give,assign,allot
backdoor,bypass,shortcut,entry,hole,access
backup,save,copy,replicate,archive,preserve
balance,stabilize,equate,offset,adjust,level
bargain,negotiate,trade,barter,deal,haggle
beam,transmit,send,broadcast,emit,transfer
beat,strike,hit,pound,thump,batter
